Pokedex_ID,Name,HP,Attack,Defense,SpAtk,SpDef,Speed,Total_Stats,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
25,Pikachu-World,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Raichu,60,90,55,90,80,110,485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Raichu-Alola,60,85,50,95,85,110,485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,Sandshrew,50,75,85,20,30,40,300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Sandshrew-Alola,50,75,90,10,35,40,300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
28,Sandslash,75,100,110,45,55,65,450,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,Sandslash-Alola,75,100,120,25,65,65,450,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,Nidoran-F,55,47,52,40,40,41,275,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,Nidorina,70,62,67,55,55,56,365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Nidoqueen,90,92,87,75,85,76,505,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
32,Nidoran-M,46,57,40,40,40,50,273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Nidorino,61,72,57,55,55,65,365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,Nidoking,81,102,77,85,75,85,505,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35,Clefairy,70,45,48,60,65,35,323,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Clefable,95,70,73,95,90,60,483,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Vulpix,38,41,40,50,65,65,299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,Vulpix-Alola,38,41,40,50,65,65,299,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,Ninetales,73,76,75,81,100,100,505,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,Ninetales-Alola,73,67,75,81,100,109,505,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
39,Jigglypuff,115,45,20,45,25,20,270,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,Wigglytuff,140,70,45,85,50,45,435,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41,Zubat,40,45,35,30,40,55,245,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
42,Golbat,75,80,70,65,75,90,455,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
43,Oddish,45,50,55,75,65,30,320,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
44,Gloom,60,65,70,85,75,40,395,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
45,Vileplume,75,80,85,110,90,50,490,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
46,Paras,35,70,55,45,55,25,285,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,Parasect,60,95,80,60,80,30,405,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,Venonat,60,55,50,40,55,45,305,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Venomoth,70,65,60,90,75,90,450,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Diglett,10,55,25,35,45,95,265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,Diglett-Alola,10,55,30,35,45,90,265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
51,Dugtrio,35,100,50,50,70,120,425,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Dugtrio-Alola,35,100,60,50,70,110,425,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
52,Meowth,40,45,35,40,40,90,290,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,Meowth-Alola,40,35,35,50,40,90,290,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Meowth-Galar,50,65,55,40,40,40,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,Meowth-Gmax,40,45,35,40,40,90,290,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,Persian,65,70,60,65,65,115,440,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,Persian-Alola,65,60,60,75,65,115,440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Psyduck,50,52,48,65,50,55,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Golduck,80,82,78,95,80,85,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,Mankey,40,80,35,35,45,70,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,Primeape,65,105,60,60,70,95,455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,Growlithe,55,70,45,70,50,60,350,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,Growlithe-Hisui,60,75,45,65,50,55,350,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
59,Arcanine,90,110,80,100,80,95,555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,Arcanine-Hisui,95,115,80,95,80,90,555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
60,Poliwag,40,50,40,40,40,90,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,Poliwhirl,65,65,65,50,50,90,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,Poliwrath,90,95,95,70,90,70,510,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
63,Abra,25,20,15,105,55,90,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,Kadabra,40,35,30,120,70,105,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,Alakazam,55,50,45,135,95,120,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,Alakazam-Mega,55,50,65,175,105,150,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,Machop,70,80,50,35,35,35,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,Machoke,80,100,70,50,60,45,405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,Machamp,90,130,80,65,85,55,505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,Machamp-Gmax,90,130,80,65,85,55,505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,Bellsprout,50,75,35,70,30,40,300,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
70,Weepinbell,65,90,50,85,45,55,390,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
71,Victreebel,80,105,65,100,70,70,490,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72,Tentacool,40,40,35,50,100,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,Tentacruel,80,70,65,80,120,100,515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,Geodude,40,80,100,30,30,20,300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,Geodude-Alola,40,80,100,30,30,20,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,Graveler,55,95,115,45,45,35,390,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
75,Graveler-Alola,55,95,115,45,45,35,390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,Golem,80,120,130,55,65,45,495,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
76,Golem-Alola,80,120,130,55,65,45,495,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,Ponyta,50,85,55,65,65,90,410,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,Ponyta-Galar,50,85,55,65,65,90,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,Rapidash,65,100,70,80,80,105,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,Rapidash-Galar,65,100,70,80,80,105,500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
79,Slowpoke,90,65,65,40,40,15,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
79,Slowpoke-Galar,90,65,65,40,40,15,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,Slowbro,95,75,110,100,80,30,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,Slowbro-Mega,95,75,180,130,80,30,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,Slowbro-Galar,95,100,95,100,70,30,490,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
81,Magnemite,25,35,70,95,55,45,325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,Magneton,50,60,95,120,70,70,465,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,Farfetch’d,52,90,55,58,62,60,377,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
83,Farfetch’d-Galar,52,95,55,58,62,55,377,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,Doduo,35,85,45,35,35,75,310,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
85,Dodrio,60,110,70,60,60,110,470,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
86,Seel,65,45,55,45,70,45,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Dewgong,90,70,80,70,95,70,475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
88,Grimer,80,80,50,40,50,25,325,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Grimer-Alola,80,80,50,40,50,25,325,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,Muk,105,105,75,65,100,50,500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,Muk-Alola,105,105,75,65,100,50,500,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,Shellder,30,65,100,45,25,40,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,Cloyster,50,95,180,85,45,70,525,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
92,Gastly,30,35,30,100,35,80,310,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
93,Haunter,45,50,45,115,55,95,405,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
94,Gengar,60,65,60,130,75,110,500,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
94,Gengar-Mega,60,65,80,170,95,130,600,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
94,Gengar-Gmax,60,65,60,130,75,110,500,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
95,Onix,35,45,160,30,45,70,385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
96,Drowzee,60,48,45,43,90,42,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,Hypno,85,73,70,73,115,67,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,Krabby,30,105,90,25,25,50,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Kingler,55,130,115,50,50,75,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Kingler-Gmax,55,130,115,50,50,75,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Voltorb,40,30,50,55,55,100,330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Voltorb-Hisui,40,30,50,55,55,100,330,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
101,Electrode,60,50,70,80,80,150,490,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Electrode-Hisui,60,50,70,80,80,150,490,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102,Exeggcute,60,40,80,60,45,40,325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
103,Exeggutor,95,95,85,125,75,55,530,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
103,Exeggutor-Alola,95,105,85,125,75,45,530,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,Cubone,50,50,95,40,50,35,320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,Marowak,60,80,110,50,80,45,425,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,Marowak-Alola,60,80,110,50,80,45,425,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
105,Marowak-Alola-Totem,60,80,110,50,80,45,425,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
106,Hitmonlee,50,120,53,35,110,87,455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,Hitmonchan,50,105,79,35,110,76,455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,Lickitung,90,55,75,60,75,30,385,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Koffing,40,65,95,60,45,35,340,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,Weezing,65,90,120,85,70,60,490,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,Weezing-Galar,65,90,120,85,70,60,490,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
111,Rhyhorn,80,85,95,30,30,25,345,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
112,Rhydon,105,130,120,45,45,40,485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
113,Chansey,250,5,5,35,105,50,450,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,Tangela,65,55,115,100,40,60,435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115,Kangaskhan,105,95,80,40,80,90,490,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,Kangaskhan-Mega,105,125,100,60,100,100,590,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,Horsea,30,40,70,70,25,60,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,Seadra,55,65,95,95,45,85,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,Goldeen,45,67,60,35,50,63,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Seaking,80,92,65,65,80,68,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,Staryu,30,45,55,70,55,85,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,Starmie,60,75,85,100,85,115,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
122,Mr. Mime,40,45,65,100,120,90,460,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
122,Mr. Mime-Galar,50,65,65,90,90,100,460,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
123,Scyther,70,110,80,55,80,105,500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,Jynx,65,50,35,115,95,95,455,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
125,Electabuzz,65,83,57,95,85,105,490,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Magmar,65,95,57,100,85,93,495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,Pinsir,65,125,100,55,70,85,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Pinsir-Mega,65,155,120,65,90,105,600,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,Tauros,75,100,95,40,70,110,490,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,Tauros-Paldea-Combat,75,110,105,30,70,100,490,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,Tauros-Paldea-Blaze,75,110,105,30,70,100,490,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
128,Tauros-Paldea-Aqua,75,110,105,30,70,100,490,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
129,Magikarp,20,10,55,15,20,80,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,Gyarados,95,125,79,60,100,81,540,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
130,Gyarados-Mega,95,155,109,70,130,81,640,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,Lapras,130,85,80,85,95,60,535,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
131,Lapras-Gmax,130,85,80,85,95,60,535,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
132,Ditto,48,48,48,48,48,48,288,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,Eevee,55,55,50,45,65,55,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,Eevee-Starter,65,75,70,65,85,75,435,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,Eevee-Gmax,55,55,50,45,65,55,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,Vaporeon,130,65,60,110,95,65,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,Jolteon,65,65,60,110,95,130,525,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Flareon,65,130,60,95,110,65,525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,Porygon,65,60,70,85,75,40,395,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138,Omanyte,35,40,100,90,55,35,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
139,Omastar,70,60,125,115,70,55,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
140,Kabuto,30,80,90,55,45,55,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
141,Kabutops,60,115,105,65,70,80,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
142,Aerodactyl,80,105,65,60,75,130,515,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
142,Aerodactyl-Mega,80,135,85,70,95,150,615,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
143,Snorlax,160,110,65,65,110,30,540,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,Snorlax-Gmax,160,110,65,65,110,30,540,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,Articuno,90,85,100,95,125,85,580,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
144,Articuno-Galar,90,85,85,125,100,95,580,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
145,Zapdos,90,90,85,125,90,100,580,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,Zapdos-Galar,90,125,90,85,90,100,580,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
146,Moltres,90,100,90,125,85,90,580,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
146,Moltres-Galar,90,85,90,100,125,90,580,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,Dratini,41,64,45,50,50,50,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Dragonair,61,84,65,70,70,70,420,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Dragonite,91,134,95,100,100,80,600,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,Mewtwo,106,110,90,154,90,130,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,Mewtwo-Mega-X,106,190,100,154,100,130,780,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
150,Mewtwo-Mega-Y,106,150,70,194,120,140,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
